dualband,refurb_new,hnd_price,phones,models,hnd_webcap,Customer_ID
Y,N,149.9899902,3,3,WCMB,1001957
T,N,99.98999023,3,3,WCMB,1001958
N,N,399.9899902,5,4,WCMB,1001959
Y,N,149.9899902,3,3,WCMB,1001960
Y,N,149.9899902,4,3,WCMB,1001961
Y,N,199.9899902,3,3,WCMB,1001962
Y,N,129.9899902,2,2,WCMB,1001963
Y,N,129.9899902,4,4,WCMB,1001964
Y,N,59.98999023,4,2,WCMB,1001965
Y,N,149.9899902,7,5,WCMB,1001966
N,N,29.98999023,1,1,NA,1001967
N,N,29.98999023,2,1,NA,1001968
N,R,9.989997864,3,3,WC,1001969
Y,N,149.9899902,3,3,WCMB,1001970
N,R,9.989997864,3,2,WCMB,1001971
N,N,129.9899902,4,4,WCMB,1001972
Y,N,149.9899902,4,3,WCMB,1001973
Y,N,149.9899902,3,3,WCMB,1001974
Y,N,59.98999023,3,2,WCMB,1001975
N,N,29.98999023,1,1,NA,1001976
N,N,29.98999023,1,1,NA,1001977
N,N,29.98999023,1,1,NA,1001978
N,N,29.98999023,2,1,NA,1001979
Y,N,129.9899902,3,2,WCMB,1001980
N,R,9.989997864,2,2,NA,1001981
Y,N,199.9899902,5,5,WCMB,1001982
N,N,129.9899902,6,5,WCMB,1001983
Y,R,99.98999023,3,2,WCMB,1001984
Y,R,99.98999023,3,3,WCMB,1001985
Y,N,29.98999023,3,1,WC,1001986
Y,N,149.9899902,2,2,WCMB,1001987
N,N,29.98999023,5,3,WCMB,1001988
N,N,29.98999023,1,1,NA,1001989
Y,N,199.9899902,8,7,WCMB,1001990
Y,N,39.98999023,5,3,WCMB,1001991
Y,N,129.9899902,3,3,WCMB,1001992
Y,N,79.98999023,4,2,WCMB,1001993
Y,N,149.9899902,4,3,WCMB,1001994
N,N,29.98999023,3,1,NA,1001995
N,R,9.989997864,2,2,NA,1001996
Y,N,129.9899902,2,2,WCMB,1001997
N,N,129.9899902,2,2,WCMB,1001998
Y,N,129.9899902,3,2,WCMB,1001999
Y,N,79.98999023,4,3,WCMB,1002000
Y,N,199.9899902,2,2,WCMB,1002001
Y,N,149.9899902,3,3,WCMB,1002002
Y,N,199.9899902,4,4,WCMB,1002003
Y,R,99.98999023,4,3,WCMB,1002004
Y,N,199.9899902,4,4,WCMB,1002005
N,N,129.9899902,2,2,WCMB,1002006
Y,N,29.98999023,4,4,NA,1002007
N,N,29.98999023,1,1,NA,1002008
Y,R,9.989997864,4,3,NA,1002009
Y,N,29.98999023,1,1,WC,1002010
Y,R,9.989997864,3,2,WC,1002011
N,N,29.98999023,1,1,NA,1002012
Y,N,149.9899902,5,4,WCMB,1002013
Y,N,29.98999023,1,1,NA,1002014
Y,N,79.98999023,3,2,WCMB,1002015
N,N,29.98999023,1,1,NA,1002016
Y,N,149.9899902,3,3,WCMB,1002017
Y,N,149.9899902,2,2,WCMB,1002018
Y,N,79.98999023,6,3,WCMB,1002019
N,N,,2,2,WC,1002020
N,R,9.989997864,4,3,WC,1002021
Y,R,9.989997864,3,2,NA,1002022
N,R,239.9899902,13,7,WCMB,1002023
Y,N,79.98999023,8,6,WCMB,1002024
N,N,29.98999023,2,1,NA,1002025
N,N,79.98999023,6,2,WC,1002026
N,N,29.98999023,1,1,NA,1002027
Y,N,199.9899902,2,2,WCMB,1002028
N,N,29.98999023,2,2,NA,1002029
N,N,29.98999023,1,1,NA,1002030
N,N,29.98999023,1,1,NA,1002031
N,N,129.9899902,4,3,WCMB,1002032
Y,R,99.98999023,5,4,WCMB,1002033
N,N,29.98999023,1,1,NA,1002034
Y,N,29.98999023,2,2,WC,1002035
Y,N,79.98999023,3,3,WCMB,1002036
Y,N,29.98999023,1,1,NA,1002037
Y,N,29.98999023,2,2,NA,1002038
Y,R,129.9899902,3,2,WCMB,1002039
Y,N,29.98999023,4,3,NA,1002040
Y,N,149.9899902,4,3,WCMB,1002041
Y,N,79.98999023,8,6,WCMB,1002042
N,N,29.98999023,1,1,NA,1002043
N,N,29.98999023,1,1,NA,1002044
N,N,29.98999023,2,1,NA,1002045
Y,N,149.9899902,5,4,WCMB,1002046
Y,N,149.9899902,2,2,WCMB,1002047
N,N,29.98999023,5,4,WC,1002048
Y,N,199.9899902,2,2,WCMB,1002049
N,N,129.9899902,7,4,WCMB,1002050
Y,N,79.98999023,2,2,WCMB,1002051
N,N,29.98999023,1,1,NA,1002052
N,N,29.98999023,1,1,NA,1002053
Y,N,199.9899902,4,3,WCMB,1002054
Y,N,149.9899902,4,2,WCMB,1002055
N,N,29.98999023,2,1,NA,1002056
N,N,29.98999023,1,1,NA,1002057
Y,N,149.9899902,2,2,WCMB,1002058
Y,N,29.98999023,6,3,WC,1002059
N,N,29.98999023,2,2,WCMB,1002060
N,N,29.98999023,2,1,NA,1002061
Y,N,149.9899902,9,6,WCMB,1002062
Y,N,79.98999023,4,3,WCMB,1002063
N,N,29.98999023,2,2,WC,1002064
Y,R,9.989997864,2,2,WC,1002065
N,N,29.98999023,1,1,NA,1002066
Y,N,29.98999023,2,2,NA,1002067
N,N,29.98999023,2,1,NA,1002068
Y,N,149.9899902,4,3,WCMB,1002069
N,N,29.98999023,1,1,NA,1002070
Y,R,9.989997864,4,2,WC,1002071
Y,N,29.98999023,1,1,WC,1002072
N,N,79.98999023,2,2,WC,1002073
Y,N,149.9899902,3,3,WCMB,1002074
N,N,29.98999023,1,1,NA,1002075
N,R,9.989997864,1,1,NA,1002076
Y,R,79.98999023,6,5,WCMB,1002077
Y,N,129.9899902,2,2,WCMB,1002078
Y,N,79.98999023,5,3,WCMB,1002079
Y,R,99.98999023,4,3,WCMB,1002080
Y,N,79.98999023,4,4,WCMB,1002081
Y,N,149.9899902,4,3,WCMB,1002082
N,N,129.9899902,2,2,WCMB,1002083
N,N,29.98999023,2,2,WC,1002084
Y,N,199.9899902,2,2,WCMB,1002085
Y,N,59.98999023,3,3,WCMB,1002086
N,N,29.98999023,1,1,NA,1002087
N,N,29.98999023,1,1,NA,1002088
Y,N,59.98999023,6,4,WCMB,1002089
Y,N,149.9899902,3,2,WCMB,1002090
N,N,29.98999023,1,1,NA,1002091
Y,N,199.9899902,4,3,WCMB,1002092
Y,N,79.98999023,2,2,WCMB,1002093
N,N,29.98999023,2,1,NA,1002094
Y,N,149.9899902,4,4,WCMB,1002095
N,N,29.98999023,1,1,NA,1002096
Y,N,79.98999023,2,2,WCMB,1002097
Y,N,199.9899902,4,3,WCMB,1002098
T,N,99.98999023,4,3,WCMB,1002099
Y,N,199.9899902,5,4,WCMB,1002100
N,N,79.98999023,2,2,WC,1002101
N,N,,3,3,WC,1002102
Y,N,149.9899902,3,3,WCMB,1002103
Y,N,199.9899902,5,4,WCMB,1002104
Y,N,199.9899902,8,7,WCMB,1002105
Y,N,29.98999023,2,2,WC,1002106
Y,R,9.989997864,7,4,NA,1002107
Y,N,79.98999023,6,4,WCMB,1002108
N,N,29.98999023,3,2,NA,1002109
N,N,129.9899902,2,2,WCMB,1002110
Y,N,79.98999023,8,7,WCMB,1002111
N,R,9.989997864,2,2,NA,1002112
Y,R,99.98999023,5,3,WCMB,1002113
N,N,29.98999023,1,1,NA,1002114
Y,R,29.98999023,4,4,WCMB,1002115
Y,N,129.9899902,4,3,WCMB,1002116
Y,N,199.9899902,4,3,WCMB,1002117
Y,N,29.98999023,1,1,NA,1002118
N,N,29.98999023,1,1,NA,1002119
Y,N,129.9899902,8,3,WCMB,1002120
Y,N,199.9899902,8,6,WCMB,1002121
N,N,129.9899902,2,2,WCMB,1002122
N,N,29.98999023,1,1,NA,1002123
Y,R,9.989997864,2,2,NA,1002124
Y,N,59.98999023,5,4,WCMB,1002125
Y,N,149.9899902,2,2,WCMB,1002126
Y,R,129.9899902,6,4,WCMB,1002127
N,N,29.98999023,1,1,NA,1002128
N,R,29.98999023,3,3,WC,1002129
Y,R,9.989997864,3,3,WC,1002130
Y,N,59.98999023,3,2,WCMB,1002131
N,N,29.98999023,1,1,NA,1002132
Y,R,9.989997864,3,3,NA,1002133
Y,R,29.98999023,7,5,WCMB,1002134
Y,N,29.98999023,5,3,WC,1002135
Y,R,129.9899902,4,3,WCMB,1002136
Y,N,79.98999023,3,2,WCMB,1002137
N,N,29.98999023,1,1,NA,1002138
N,N,399.9899902,5,5,WCMB,1002139
N,N,129.9899902,5,3,WCMB,1002140
Y,N,149.9899902,3,2,WCMB,1002141
Y,N,79.98999023,9,7,WCMB,1002142
Y,N,149.9899902,4,2,WCMB,1002143
N,N,29.98999023,1,1,NA,1002144
Y,N,29.98999023,2,2,WC,1002145
Y,N,29.98999023,1,1,NA,1002146
N,N,29.98999023,2,1,NA,1002147
N,N,29.98999023,1,1,NA,1002148
Y,N,149.9899902,6,4,WCMB,1002149
N,R,9.989997864,12,5,WCMB,1002150
Y,N,59.98999023,2,2,WCMB,1002151
Y,N,79.98999023,3,2,WCMB,1002152
Y,R,99.98999023,4,3,WCMB,1002153
Y,N,199.9899902,6,3,WCMB,1002154
Y,N,29.98999023,2,1,WC,1002155
Y,N,149.9899902,2,2,WCMB,1002156
N,R,9.989997864,2,2,NA,1002157
N,N,59.98999023,2,2,WC,1002158
Y,N,29.98999023,2,1,WC,1002159
N,N,29.98999023,1,1,NA,1002160
Y,N,149.9899902,9,6,WCMB,1002161
T,N,99.98999023,5,3,WCMB,1002162
N,N,29.98999023,5,3,WC,1002163
N,N,29.98999023,1,1,NA,1002164
Y,N,129.9899902,3,3,WCMB,1002165
N,R,9.989997864,3,1,NA,1002166
Y,N,149.9899902,8,6,WCMB,1002167
N,N,29.98999023,1,1,NA,1002168
N,N,129.9899902,3,3,WCMB,1002169
Y,N,199.9899902,11,5,WCMB,1002170
Y,N,29.98999023,2,1,NA,1002171
N,N,29.98999023,1,1,NA,1002172
N,N,29.98999023,2,1,NA,1002173
Y,N,129.9899902,4,4,WCMB,1002174
N,N,29.98999023,2,2,WC,1002175
Y,N,29.98999023,4,3,NA,1002176
Y,N,29.98999023,9,3,WC,1002177
Y,N,79.98999023,3,2,WCMB,1002178
Y,N,199.9899902,2,2,WCMB,1002179
N,N,29.98999023,1,1,NA,1002180
Y,N,199.9899902,2,2,WCMB,1002181
Y,N,199.9899902,4,3,WCMB,1002182
Y,N,129.9899902,2,2,WCMB,1002183
N,N,29.98999023,2,1,NA,1002184
N,R,9.989997864,2,2,NA,1002185
Y,N,199.9899902,5,4,WCMB,1002186
N,N,29.98999023,1,1,NA,1002187
Y,N,59.98999023,4,3,WCMB,1002188
N,N,29.98999023,5,3,NA,1002189
Y,N,199.9899902,4,4,WCMB,1002190
Y,R,29.98999023,10,6,WCMB,1002191
Y,N,29.98999023,1,1,WC,1002192
N,N,29.98999023,1,1,NA,1002193
N,N,29.98999023,3,1,NA,1002194
N,N,29.98999023,2,2,WCMB,1002195
Y,N,29.98999023,2,2,WC,1002196
Y,N,79.98999023,6,5,WCMB,1002197
N,N,29.98999023,2,2,NA,1002198
Y,N,129.9899902,6,5,WCMB,1002199
Y,N,59.98999023,2,2,WCMB,1002200
T,N,99.98999023,5,3,WCMB,1002201
N,N,29.98999023,1,1,NA,1002202
N,R,9.989997864,3,2,NA,1002203
Y,N,29.98999023,2,1,WC,1002204
N,N,29.98999023,2,2,WCMB,1002205
N,N,29.98999023,1,1,NA,1002206
N,R,29.98999023,4,3,WC,1002207
Y,N,79.98999023,4,2,WCMB,1002208
Y,R,99.98999023,2,2,WCMB,1002209
N,N,29.98999023,1,1,NA,1002210
N,N,29.98999023,1,1,NA,1002211
Y,N,149.9899902,2,2,WCMB,1002212
Y,N,29.98999023,1,1,NA,1002213
Y,N,29.98999023,3,2,WC,1002214
N,N,29.98999023,2,2,NA,1002215
N,N,29.98999023,1,1,NA,1002216
Y,N,29.98999023,2,1,WC,1002217
Y,N,29.98999023,1,1,WC,1002218
Y,N,29.98999023,2,2,WC,1002219
N,N,79.98999023,2,2,WC,1002220
N,N,129.9899902,8,6,WCMB,1002221
Y,N,199.9899902,4,2,WCMB,1002222
T,R,59.98999023,5,4,WCMB,1002223
Y,R,99.98999023,4,3,WCMB,1002224
Y,N,199.9899902,5,4,WCMB,1002225
Y,N,149.9899902,4,4,WCMB,1002226
Y,R,79.98999023,3,3,WCMB,1002227
N,R,9.989997864,2,2,NA,1002228
Y,R,9.989997864,6,3,NA,1002229
N,N,129.9899902,5,4,WCMB,1002230
Y,N,79.98999023,4,4,WCMB,1002231
Y,N,149.9899902,5,3,WCMB,1002232
Y,N,79.98999023,2,2,WCMB,1002233
N,N,29.98999023,1,1,NA,1002234
N,N,129.9899902,2,2,WCMB,1002235
Y,N,149.9899902,2,2,WCMB,1002236
T,N,199.9899902,4,3,WCMB,1002237
Y,N,199.9899902,4,4,WCMB,1002238
N,N,79.98999023,2,2,WC,1002239
Y,N,129.9899902,3,3,WCMB,1002240
N,N,29.98999023,2,1,NA,1002241
Y,N,29.98999023,2,2,NA,1002242
Y,N,29.98999023,1,1,NA,1002243
Y,N,129.9899902,4,3,WCMB,1002244
Y,N,199.9899902,3,3,WCMB,1002245
N,R,79.98999023,4,4,WCMB,1002246
N,N,29.98999023,1,1,NA,1002247
N,N,29.98999023,2,1,NA,1002248
Y,N,149.9899902,2,2,WCMB,1002249
N,N,29.98999023,1,1,NA,1002250
N,N,29.98999023,1,1,NA,1002251
Y,R,99.98999023,4,4,WCMB,1002252
Y,N,129.9899902,4,3,WCMB,1002253
N,N,29.98999023,1,1,NA,1002254
N,N,29.98999023,1,1,NA,1002255
Y,N,149.9899902,4,2,WCMB,1002256
Y,R,39.98999023,3,3,WCMB,1002257
Y,N,79.98999023,3,3,WCMB,1002258
T,N,199.9899902,2,2,WCMB,1002259
N,N,29.98999023,1,1,NA,1002260
Y,R,29.98999023,4,4,WCMB,1002261
Y,N,59.98999023,2,2,WCMB,1002262
Y,N,29.98999023,1,1,WC,1002263
N,N,29.98999023,1,1,NA,1002264
Y,N,129.9899902,5,3,WCMB,1002265
Y,N,149.9899902,4,3,WCMB,1002266
N,N,29.98999023,1,1,NA,1002267
N,N,29.98999023,1,1,NA,1002268
Y,N,29.98999023,3,2,NA,1002269
Y,N,149.9899902,4,2,WCMB,1002270
N,N,29.98999023,1,1,NA,1002271
Y,N,29.98999023,2,2,NA,1002272
Y,N,79.98999023,2,2,WCMB,1002273
Y,N,149.9899902,4,2,WCMB,1002274
N,N,29.98999023,1,1,NA,1002275
Y,N,199.9899902,5,5,WCMB,1002276
Y,N,149.9899902,3,3,WCMB,1002277
Y,R,79.98999023,6,3,WCMB,1002278
Y,N,149.9899902,4,4,WCMB,1002279
Y,R,39.98999023,9,4,WCMB,1002280
N,N,29.98999023,1,1,NA,1002281
Y,N,149.9899902,5,4,WCMB,1002282
N,N,129.9899902,3,3,WCMB,1002283
Y,N,59.98999023,5,4,WCMB,1002284
Y,N,129.9899902,3,3,WCMB,1002285
Y,N,149.9899902,2,2,WCMB,1002286
Y,N,29.98999023,2,2,NA,1002287
T,N,199.9899902,10,7,WCMB,1002288
Y,N,149.9899902,3,3,WCMB,1002289
Y,R,29.98999023,4,3,WCMB,1002290
N,N,79.98999023,2,2,WC,1002291
N,N,129.9899902,4,4,WCMB,1002292
Y,N,149.9899902,2,2,WCMB,1002293
N,N,29.98999023,1,1,NA,1002294
Y,N,79.98999023,6,4,WCMB,1002295
N,N,29.98999023,2,2,NA,1002296
Y,N,79.98999023,3,2,WCMB,1002297
Y,N,199.9899902,3,3,WCMB,1002298
Y,N,199.9899902,3,3,WCMB,1002299
Y,R,79.98999023,2,2,WCMB,1002300
Y,N,149.9899902,2,2,WCMB,1002301
N,N,29.98999023,2,2,NA,1002302
Y,N,199.9899902,6,4,WCMB,1002303
Y,R,99.98999023,4,3,WCMB,1002304
Y,N,29.98999023,3,2,NA,1002305
Y,N,79.98999023,2,2,WCMB,1002306
N,N,29.98999023,1,1,NA,1002307
N,N,79.98999023,2,2,WC,1002308
Y,R,29.98999023,6,6,WCMB,1002309
Y,N,199.9899902,8,5,WCMB,1002310
Y,N,79.98999023,3,3,WCMB,1002311
T,N,99.98999023,3,3,WCMB,1002312
Y,N,29.98999023,1,1,WC,1002313
N,N,129.9899902,3,3,WCMB,1002314
Y,N,149.9899902,4,2,WCMB,1002315
N,N,29.98999023,1,1,NA,1002316
N,N,29.98999023,3,3,WCMB,1002317
N,R,9.989997864,2,2,WC,1002318
Y,N,79.98999023,4,3,WCMB,1002319
Y,N,149.9899902,2,2,WCMB,1002320
Y,N,199.9899902,3,2,WCMB,1002321
N,N,29.98999023,1,1,NA,1002322
N,N,29.98999023,1,1,NA,1002323
Y,N,199.9899902,6,4,WCMB,1002324
Y,N,149.9899902,6,5,WCMB,1002325
Y,N,199.9899902,13,5,WCMB,1002326
Y,N,149.9899902,3,3,WCMB,1002327
Y,N,59.98999023,5,3,WCMB,1002328
N,N,129.9899902,4,3,WCMB,1002329
N,N,129.9899902,6,6,WCMB,1002330
N,N,29.98999023,2,1,NA,1002331
Y,N,129.9899902,3,2,WCMB,1002332
N,N,29.98999023,2,1,NA,1002333
N,N,79.98999023,3,3,WC,1002334
N,N,29.98999023,1,1,NA,1002335
Y,N,79.98999023,2,2,WCMB,1002336
N,N,129.9899902,5,3,WCMB,1002337
N,R,9.989997864,6,4,NA,1002338
N,N,29.98999023,3,2,WC,1002339
Y,N,149.9899902,2,2,WCMB,1002340
Y,N,149.9899902,2,2,WCMB,1002341
Y,N,199.9899902,3,3,WCMB,1002342
Y,N,29.98999023,3,2,NA,1002343
N,N,29.98999023,1,1,NA,1002344
N,R,29.98999023,7,6,WC,1002345
Y,N,129.9899902,2,2,WCMB,1002346
Y,N,59.98999023,3,3,WCMB,1002347
N,N,29.98999023,1,1,NA,1002348
Y,N,29.98999023,1,1,NA,1002349
N,N,29.98999023,4,2,NA,1002350
N,N,29.98999023,1,1,NA,1002351
Y,N,199.9899902,4,4,WCMB,1002352
Y,N,199.9899902,3,2,WCMB,1002353
N,N,29.98999023,1,1,NA,1002354
Y,N,149.9899902,3,2,WCMB,1002355
N,N,29.98999023,1,1,NA,1002356
N,N,29.98999023,1,1,NA,1002357
N,N,29.98999023,1,1,NA,1002358
N,R,9.989997864,4,4,WCMB,1002359
Y,N,29.98999023,1,1,WC,1002360
Y,R,99.98999023,3,3,WCMB,1002361
N,N,29.98999023,1,1,NA,1002362
N,N,29.98999023,1,1,NA,1002363
Y,R,99.98999023,6,5,WCMB,1002364
N,N,29.98999023,2,2,NA,1002365
Y,R,99.98999023,2,2,WCMB,1002366
Y,N,199.9899902,6,3,WCMB,1002367
Y,N,149.9899902,9,8,WCMB,1002368
Y,N,29.98999023,4,3,NA,1002369
Y,N,149.9899902,7,4,WCMB,1002370
Y,N,149.9899902,2,2,WCMB,1002371
Y,N,149.9899902,5,4,WCMB,1002372
Y,N,149.9899902,2,2,WCMB,1002373
Y,N,29.98999023,1,1,WC,1002374
Y,N,149.9899902,2,2,WCMB,1002375
Y,N,79.98999023,2,2,WCMB,1002376
Y,R,129.9899902,6,3,WCMB,1002377
Y,N,149.9899902,9,5,WCMB,1002378
Y,R,9.989997864,2,2,NA,1002379
Y,N,149.9899902,3,2,WCMB,1002380
N,N,29.98999023,1,1,NA,1002381
Y,R,9.989997864,5,3,NA,1002382
Y,N,199.9899902,3,2,WCMB,1002383
Y,N,149.9899902,3,2,WCMB,1002384
Y,N,129.9899902,3,3,WCMB,1002385
N,N,9.989997864,6,4,WCMB,1002386
N,N,29.98999023,4,3,WC,1002387
N,N,29.98999023,1,1,NA,1002388
Y,N,29.98999023,2,1,NA,1002389
Y,N,149.9899902,4,2,WCMB,1002390
N,N,29.98999023,1,1,NA,1002391
Y,N,149.9899902,4,4,WCMB,1002392
Y,N,59.98999023,2,2,WCMB,1002393
Y,N,149.9899902,4,2,WCMB,1002394
N,R,29.98999023,5,4,WC,1002395
Y,R,29.98999023,6,5,WCMB,1002396
N,N,29.98999023,1,1,NA,1002397
Y,N,29.98999023,2,1,WC,1002398
Y,R,99.98999023,9,4,WCMB,1002399
T,R,239.9899902,8,6,WCMB,1002400
N,N,29.98999023,1,1,NA,1002401
Y,N,199.9899902,3,3,WCMB,1002402
Y,N,149.9899902,8,5,WCMB,1002403
Y,R,9.989997864,3,2,WC,1002404
Y,R,99.98999023,4,4,WCMB,1002405
Y,N,59.98999023,5,3,WCMB,1002406
Y,N,199.9899902,4,3,WCMB,1002407
Y,N,29.98999023,1,1,NA,1002408
N,N,29.98999023,1,1,NA,1002409
Y,N,149.9899902,4,4,WCMB,1002410
Y,N,79.98999023,3,3,WCMB,1002411
N,N,129.9899902,4,3,WCMB,1002412
N,N,29.98999023,2,2,WC,1002413
N,N,29.98999023,1,1,NA,1002414
Y,N,149.9899902,3,2,WCMB,1002415
Y,N,29.98999023,1,1,NA,1002416
N,N,29.98999023,1,1,NA,1002417
Y,N,79.98999023,2,2,WCMB,1002418
N,N,29.98999023,1,1,NA,1002419
Y,N,129.9899902,4,4,WCMB,1002420
N,N,29.98999023,1,1,NA,1002421
N,N,29.98999023,1,1,NA,1002422
Y,R,9.989997864,2,2,NA,1002423
N,N,29.98999023,2,2,WC,1002424
N,N,29.98999023,6,4,NA,1002425
Y,N,199.9899902,2,2,WCMB,1002426
N,N,129.9899902,4,3,WCMB,1002427
N,N,,3,3,WC,1002428
N,N,29.98999023,1,1,NA,1002429
N,N,129.9899902,7,6,WCMB,1002430
Y,R,29.98999023,10,4,WCMB,1002431
N,N,129.9899902,5,2,WCMB,1002432
Y,N,29.98999023,2,1,NA,1002433
Y,N,199.9899902,3,3,WCMB,1002434
N,R,9.989997864,2,2,NA,1002435
T,N,99.98999023,4,4,WCMB,1002436
Y,N,29.98999023,1,1,WC,1002437
Y,N,149.9899902,4,4,WCMB,1002438
Y,N,29.98999023,2,1,WC,1002439
Y,N,29.98999023,1,1,WC,1002440
N,N,,3,2,WC,1002441
Y,N,149.9899902,6,4,WCMB,1002442
Y,N,59.98999023,7,4,WCMB,1002443
N,N,129.9899902,3,3,WCMB,1002444
N,N,29.98999023,1,1,NA,1002445
Y,N,29.98999023,1,1,WC,1002446
Y,N,129.9899902,5,4,WCMB,1002447
N,R,9.989997864,2,2,NA,1002448
Y,N,129.9899902,2,2,WCMB,1002449
Y,N,29.98999023,1,1,WC,1002450
Y,N,149.9899902,4,4,WCMB,1002451
Y,N,29.98999023,1,1,NA,1002452
Y,R,99.98999023,6,3,WCMB,1002453
Y,N,29.98999023,1,1,WC,1002454
Y,N,149.9899902,2,2,WCMB,1002455
Y,N,29.98999023,1,1,WC,1002456
Y,N,199.9899902,7,4,WCMB,1002457
N,N,29.98999023,2,1,NA,1002458
Y,R,29.98999023,4,3,WCMB,1002459
Y,N,29.98999023,2,2,NA,1002460
Y,N,499.9899902,24,15,WCMB,1002461
Y,N,199.9899902,5,4,WCMB,1002462
N,N,29.98999023,2,1,NA,1002463
Y,N,199.9899902,6,5,WCMB,1002464
Y,R,79.98999023,6,4,WCMB,1002465
N,N,29.98999023,2,1,NA,1002466
Y,N,59.98999023,2,2,WCMB,1002467
N,R,9.989997864,3,2,NA,1002468
Y,N,149.9899902,5,4,WCMB,1002469
Y,N,129.9899902,2,2,WCMB,1002470
Y,N,29.98999023,1,1,WC,1002471
Y,N,29.98999023,2,1,WC,1002472
Y,N,29.98999023,1,1,NA,1002473
Y,R,9.989997864,2,2,WC,1002474
N,N,129.9899902,3,3,WCMB,1002475
Y,N,29.98999023,1,1,WC,1002476
N,N,29.98999023,2,2,WCMB,1002477
N,N,29.98999023,1,1,NA,1002478
Y,R,99.98999023,3,3,WCMB,1002479
Y,N,29.98999023,1,1,WC,1002480
Y,N,29.98999023,1,1,NA,1002481
Y,N,29.98999023,3,2,WC,1002482
Y,N,29.98999023,1,1,NA,1002483
Y,N,149.9899902,4,4,WCMB,1002484
Y,R,79.98999023,5,3,WCMB,1002485
N,N,29.98999023,1,1,NA,1002486
N,N,129.9899902,5,4,WCMB,1002487
N,N,129.9899902,2,2,WCMB,1002488
Y,N,249.9899902,4,3,WCMB,1002489
N,N,29.98999023,1,1,NA,1002490
N,N,29.98999023,3,2,WC,1002491
N,N,29.98999023,1,1,NA,1002492
Y,N,29.98999023,2,2,NA,1002493
N,N,129.9899902,7,4,WCMB,1002494
N,N,29.98999023,1,1,NA,1002495
Y,N,29.98999023,1,1,WC,1002496
Y,N,29.98999023,4,3,NA,1002497
Y,N,199.9899902,4,4,WCMB,1002498
Y,N,149.9899902,3,3,WCMB,1002499
Y,N,99.98999023,3,2,WCMB,1002500
Y,N,29.98999023,1,1,NA,1002501
Y,N,129.9899902,2,2,WCMB,1002502
N,N,29.98999023,2,1,NA,1002503
N,N,29.98999023,1,1,NA,1002504
Y,N,59.98999023,3,2,WCMB,1002505
Y,N,129.9899902,3,3,WCMB,1002506
N,N,29.98999023,4,2,NA,1002507
Y,N,149.9899902,2,2,WCMB,1002508
N,N,29.98999023,1,1,NA,1002509
Y,N,29.98999023,2,1,WC,1002510
N,N,29.98999023,3,3,WC,1002511
Y,N,79.98999023,4,2,WCMB,1002512
Y,N,129.9899902,3,3,WCMB,1002513
N,R,9.989997864,7,5,WC,1002514
Y,N,149.9899902,2,2,WCMB,1002515
N,N,129.9899902,3,3,WCMB,1002516
Y,N,29.98999023,2,1,WC,1002517
N,N,29.98999023,4,3,WC,1002518
Y,N,29.98999023,1,1,NA,1002519
Y,N,199.9899902,4,3,WCMB,1002520
Y,N,29.98999023,1,1,WC,1002521
Y,N,149.9899902,2,2,WCMB,1002522
N,R,79.98999023,4,3,WCMB,1002523
Y,N,199.9899902,3,3,WCMB,1002524
N,N,29.98999023,1,1,NA,1002525
Y,R,9.989997864,3,3,WC,1002526
N,N,29.98999023,2,2,WC,1002527
Y,N,199.9899902,5,3,WCMB,1002528
Y,N,249.9899902,7,6,WCMB,1002529
N,R,9.989997864,2,2,NA,1002530
Y,N,199.9899902,7,3,WCMB,1002531
Y,N,29.98999023,2,1,NA,1002532
Y,N,59.98999023,10,7,WCMB,1002533
N,N,29.98999023,1,1,NA,1002534
N,R,9.989997864,4,4,WCMB,1002535
Y,R,79.98999023,4,3,WCMB,1002536
N,N,29.98999023,1,1,NA,1002537
Y,N,59.98999023,5,3,WCMB,1002538
Y,N,29.98999023,2,1,WC,1002539
Y,N,129.9899902,12,6,WCMB,1002540
N,R,39.98999023,2,2,WC,1002541
N,N,29.98999023,1,1,NA,1002542
N,N,129.9899902,7,4,WCMB,1002543
Y,N,199.9899902,4,3,WCMB,1002544
Y,N,199.9899902,2,2,WCMB,1002545
Y,N,199.9899902,4,3,WCMB,1002546
N,N,29.98999023,3,3,NA,1002547
Y,N,149.9899902,4,3,WCMB,1002548
Y,N,199.9899902,5,3,WCMB,1002549
Y,N,29.98999023,2,2,WC,1002550
Y,N,29.98999023,1,1,NA,1002551
Y,N,149.9899902,6,3,WCMB,1002552
Y,N,79.98999023,4,3,WCMB,1002553
N,N,29.98999023,1,1,NA,1002554
Y,N,199.9899902,3,3,WCMB,1002555
Y,R,9.989997864,6,2,WC,1002556
Y,N,199.9899902,6,5,WCMB,1002557
Y,N,199.9899902,3,3,WCMB,1002558
Y,R,9.989997864,5,3,WC,1002559
Y,N,129.9899902,2,2,WCMB,1002560
Y,R,29.98999023,4,4,WCMB,1002561
Y,N,199.9899902,5,4,WCMB,1002562
Y,N,149.9899902,2,2,WCMB,1002563
N,N,29.98999023,1,1,NA,1002564
N,N,29.98999023,1,1,NA,1002565
N,N,129.9899902,9,7,WCMB,1002566
N,N,129.9899902,4,3,WCMB,1002567
Y,N,29.98999023,5,4,NA,1002568
N,N,29.98999023,2,1,NA,1002569
Y,N,29.98999023,1,1,WC,1002570
Y,N,149.9899902,3,3,WCMB,1002571
